,ADDRESS,URM_CLASS,UPGRADE_STATUS,PARTIAL_UPGRADE,UPGRADE_DATE,UPGRADE_STANDARD,UPGRADE_PERMIT_NUMBER,UPGRADE_PERMIT_NOTES,YEAR_BUILT,STORY_COUNT,TAX_EXEMPT,NEIGHBORHOOD,LONG_ADDRESS,LONG,LAT
0,4600 N SUTTLE RD,3,UNKNOWN,,,,,,1949,1.0,,St Johns Neighborhood Association,4600 N SUTTLE RD PORTLAND OREGON,-122.7145435,45.615763
1,3610 N SUTTLE RD,3,UNKNOWN,,,,,,1920,2.0,,St Johns Neighborhood Association,3610 N SUTTLE RD PORTLAND OREGON,-122.7060821,45.6117241
2,10828 NW ST HELENS RD,3,UNKNOWN,,,,,,1927,2.0,,Linnton Neighborhood Association,10828 NW ST HELENS RD PORTLAND OREGON,-122.7862234,45.59988329999999
3,10614 NW ST HELENS RD,3,PARTIAL,Other,2009,Voluntary,"06-116764-CO, 09-156078-CO",Some work completed in 2006,1927,2.0,"Literary, Benevolent, Charitable Organizations",Linnton Neighborhood Association,10614 NW ST HELENS RD PORTLAND OREGON,-122.785301,45.5986147
4,10105 N LOMBARD ST,3,UNKNOWN,,,,,,1949,1.0,,St Johns Neighborhood Association,10105 N LOMBARD ST PORTLAND OREGON,-122.7620304,45.60000669999999
5,8911 N LEONARD,3,UNKNOWN,,,,18-223908-CO,Roof sheathing and wall anchorage.  Voluntary,1953,2.0,Lease/Non-Profit to Non-Profit,St Johns Neighborhood Association,8911 N LEONARD PORTLAND OREGON,-122.7543898,45.5927433
6,8803 N LOMBARD,3,REROOF,Reroof,2011,"IBC 2009,Voluntary",11-165402-CO,"""Re-roof; seismic wall anchorage; new post and girder roof framing support and new steel frame for future storefront; ",1906,2.0,,St Johns Neighborhood Association,8803 N LOMBARD PORTLAND OREGON,-122.755646,45.591359
7,8915 N LOMBARD ST,3,UNKNOWN,,,,,,1914,1.0,,St Johns Neighborhood Association,8915 N LOMBARD ST PORTLAND OREGON,-122.7561974,45.59185309999999
8,8926-8928 N LOMBARD,3,UNKNOWN,,,,,,1907,2.0,,St Johns Neighborhood Association,8926-8928 N LOMBARD PORTLAND OREGON,-122.7567697,45.59172119999999
9,8933-8953 N LOMBARD,3,UNKNOWN,,,,,,1906,2.0,,St Johns Neighborhood Association,8933-8953 N LOMBARD PORTLAND OREGON,-122.7564435,45.5921712
10,9520 N LOMBARD,3,UNKNOWN,,,,,,1929,1.0,,St Johns Neighborhood Association,9520 N LOMBARD PORTLAND OREGON,-122.7597196,45.5949213
11,9440 N ST LOUIS AV,4,UNKNOWN,,,,,,1954,1.0,,St Johns Neighborhood Association,9440 N ST LOUIS AV PORTLAND OREGON,-122.7505817,45.5961714
12,9464 N ST LOUIS AV,4,UNKNOWN,,,,,,1950,1.0,,St Johns Neighborhood Association,9464 N ST LOUIS AV PORTLAND OREGON,-122.750103,45.5964077
13,9901 N HURST AV,3,UNKNOWN,,,,,,1937,1.0,,Kenton Neighborhood Association,9901 N HURST AV PORTLAND OREGON,-122.708777,45.5938925
14,24 NE MIDDLEFIELD RD,3,UNKNOWN,,,,,,1965,2.0,,East Columbia Neighborhood Association,24 NE MIDDLEFIELD RD PORTLAND OREGON,-122.6671012,45.5956998
15,10149 N VANCOUVER WY,4,UNKNOWN,,,,,,1954,1.0,,East Columbia Neighborhood Association,10149 N VANCOUVER WY PORTLAND OREGON,-122.6685213,45.5955053
16,9505 NE VANCOUVER WY,3,UNKNOWN,,,,,,1951,1.0,,East Columbia Neighborhood Association,9505 NE VANCOUVER WY PORTLAND OREGON,-122.6632255,45.5916254
17,5380 NE MARINE DR,4,UNKNOWN,,,,,,1948,1.0,Port of Portland and TriMet,,5380 NE MARINE DR PORTLAND OREGON,-122.6075926,45.5971102
18,7305 N ALTA,3,UNKNOWN,,,,,,1957,2.0,,St Johns Neighborhood Association,7305 N ALTA PORTLAND OREGON,-122.7558673,45.5904354
19,7238 N BURLINGTON,3,UNKNOWN,,,,,,1907,2.0,,Cathedral Park Neighborhood Association,7238 N BURLINGTON PORTLAND OREGON,-122.7550619,45.5893697
20,7425 N LEAVITT,3,UNKNOWN,,,,,,1947,1.0,,St Johns Neighborhood Association,7425 N LEAVITT PORTLAND OREGON,-122.7537779,45.5903229
21,8711-8717 N LOMBARD ST ,3,UNKNOWN,,,,,,1911,1.0,,St Johns Neighborhood Association,8711-8717 N LOMBARD ST  PORTLAND OREGON,-122.7550695,45.5909677
22,8800 N LOMBARD,3,UNKNOWN,,,,,,1948,1.0,,St Johns Neighborhood Association,8800 N LOMBARD PORTLAND OREGON,-122.7561074,45.5912025
